date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:43	76871/76871	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2006:08:44%20GMT	https://www.kurly.com/shop/main/index.php	C:/My%20Web%20Sites/kurly/www.kurly.com/shop/main/index.html	(from )
13:08:43	70/70	---MCZ	200	added ('OK')	text/plain	etag:W/%226125c8aa-4c%22	https://www.kurly.com/robots.txt		(from )
13:08:43	8341/8341	---M--	200	added ('OK')	image/jpeg	etag:%221bcaac8662e8627632d75a46ce72f519%22	https://res.kurly.com/images/marketkurly/logo/logo_sns_marketkurly.jpg	C:/My%20Web%20Sites/kurly/res.kurly.com/images/marketkurly/logo/logo_sns_marketkurly.jpg	(from https://www.kurly.com/shop/main/index.php)
13:08:44	76924/76924	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2006:08:45%20GMT	https://www.kurly.com/shop/main/index.php?	C:/My%20Web%20Sites/kurly/www.kurly.com/shop/main/indexd41d.html	(from https://www.kurly.com/shop/main/index.php)
13:08:44	1868/1868	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2026%20Aug%202021%2006:08:46%20GMT	https://js.sentry-cdn.com/c1f07ee4a3fd45d5aa2ef4983ca9ad43.min.js	C:/My%20Web%20Sites/kurly/js.sentry-cdn.com/c1f07ee4a3fd45d5aa2ef4983ca9ad43.min.js	(from https://www.kurly.com/shop/main/index.php)
13:08:44	11868/11868	---MCZ	200	added ('OK')	application/javascript	etag:W/%226125c8fc-2e5c%22	https://www.kurly.com/asset/js/common.bundle.js?ver=1.38.2	C:/My%20Web%20Sites/kurly/www.kurly.com/asset/js/common.bundlecd3d.js	(from https://www.kurly.com/shop/main/index.php)
13:08:44	93113/93113	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211468602df014a21b203dc9bcd84d369%22	https://res.kurly.com/js/lib/jquery-1.10.2.min.js	C:/My%20Web%20Sites/kurly/res.kurly.com/js/lib/jquery-1.10.2.min.js	(from https://www.kurly.com/shop/main/index.php)
13:08:45	3195/3195	---M--	200	added ('OK')	image/png	etag:%22410b2cc2c6a0bf6141bba0883f6a097d%22	https://res.kurly.com/images/marketkurly/logo/favicon_v2.png	C:/My%20Web%20Sites/kurly/res.kurly.com/images/marketkurly/logo/favicon_v2.png	(from https://www.kurly.com/shop/main/index.php)
13:08:45	1569/1569	---M--	200	added ('OK')	image/png	etag:%224409ff2670b88ed35d8503a6f36dcd50%22	https://res.kurly.com/images/marketkurly/logo/ico_57.png	C:/My%20Web%20Sites/kurly/res.kurly.com/images/marketkurly/logo/ico_57.png	(from https://www.kurly.com/shop/main/index.php)
13:08:45	1643/1643	---M--	200	added ('OK')	image/png	etag:%22dd6d6f4e571ff3600c6a7d7adcf47cda%22	https://res.kurly.com/images/marketkurly/logo/ico_60.png	C:/My%20Web%20Sites/kurly/res.kurly.com/images/marketkurly/logo/ico_60.png	(from https://www.kurly.com/shop/main/index.php)
